,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
287,3M India Ltd.,3MINDIA,Industrial Machinery,90.0,11.67,24797.92,934.81,271.97,281.85,0.0,11.36,8.44,-4.37,63.54,486.39,57.38,50.01,37.45,67.49,57.39,66.18,28.27,52.15,12.02,0.0,75.0,9,3244.9,9.04,16.53,12.45
288,Shriram City Union Finance Ltd.,SHRIRAMCIT,Finance (including NBFCs),35.0,43.83,11593.18,1901.22,1151.77,1675.88,0.0,1.23,5.04,9.83,-28.32,180.39,9.19,14.69,-0.09,8.3,9.87,4.32,14.75,18.63,2.73,2.88,34.61,2,2348.85,2.58,45.74,12.41
289,Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,Marine Port & Services,60.0,22.5,143229.46,4417.87,4754.66,-3073.04,1.04,3.71,3.64,66.8,84.4,472.68,-23.5,2.07,-24.16,-5.33,-20.49,-30.45,24.58,-12.06,1.26,0.0,65.55,5,304.38,4.98,9.9,12.36
290,Avanti Feeds Ltd.,AVANTIFEED,Other Food Products,60.0,29.33,5853.11,1050.36,199.26,27.3,0.0,3.62,3.59,22.13,-6.38,4889.55,9.5,-37.49,-6.82,-34.75,9.52,97.59,24.23,10.32,28.59,1.45,43.68,6,197.56,10.27,16.2,12.32
291,NTPC Ltd.,NTPC,Electric Utilities,65.0,65.5,134395.79,37724.42,16675.9,360.5,1.34,0.97,35.85,-1.11,5.34,7.23,13.89,18.56,19.32,13.95,13.75,14.85,16.83,35.92,11.39,5.16,51.1,7,235.63,4.0,8.53,12.31
292,TV18 Broadcast Ltd.,TV18BRDCST,Broadcasting & Cable TV,85.0,62.33,6788.87,1512.46,584.5,211.42,0.0,1.08,1.77,62.63,9.85,50.57,-13.4,28.53,-17.85,28.31,-13.43,-28.32,22.84,-9.9,-4.52,0.0,60.4,9,53.03,6.35,15.32,12.22
293,NOCIL Ltd.,NOCIL,Specialty Chemicals,65.0,33.17,4319.47,463.95,176.11,31.73,0.0,2.99,11.55,117.13,129.22,1443.15,84.0,118.77,48.13,99.2,84.62,131.35,67.68,105.98,18.98,0.77,33.85,7,143.66,9.62,15.38,12.18
294,Adani Transmission Ltd.,ADANITRANS,Electric Utilities,65.0,5.5,241325.69,3165.35,1204.61,-985.61,2.8,21.62,35.85,878.03,1643.97,,-77.84,5.39,4.72,-1.59,-3.7,-14.02,13.41,14.84,2.16,0.0,74.92,6,157.04,2.53,8.14,12.15
295,Rossari Biotech Ltd.,ROSSARI,Specialty Chemicals,45.0,16.17,4773.39,440.9,97.37,22.27,0.0,5.93,11.55,,,,1.16,49.07,-26.15,21.76,7.38,6.84,108.06,42.49,2.45,0.06,68.56,3,241.24,7.77,15.31,12.13
296,Mas Financial Services Ltd.,MASFIN,Finance (including NBFCs),50.0,30.0,2715.88,188.68,159.31,-58.74,0.0,2.03,5.04,-16.75,,,18.2,15.24,3.07,10.35,18.2,5.69,10.1,32.13,4.31,0.55,73.64,4,400.93,2.52,39.52,12.09
297,Cipla Ltd.,CIPLA,Pharmaceuticals,60.0,26.17,76260.8,5324.35,2516.75,38.12,0.02,3.61,6.18,71.23,76.77,206.4,-12.48,7.06,-17.55,4.65,-12.41,-50.31,13.48,-11.69,-3.99,0.53,33.63,6,428.61,9.28,17.04,12.07
298,AstraZeneca Pharma India Ltd.,ASTRAZEN,Pharmaceuticals,60.0,8.0,6738.88,235.65,61.59,268.84,0.0,13.18,6.18,28.49,196.34,45.99,2.57,-36.39,-14.85,-33.98,2.58,145.05,-0.73,-3.07,15.68,0.07,75.0,6,336.74,7.19,16.03,12.04
