,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
427,Century Textiles & Industries Ltd.,CENTURYTEX,Textiles,80.0,37.83,8964.14,1218.29,166.53,3.9,0.11,2.31,3.69,-16.49,-27.23,176.17,1128.0,98.71,15.62,647.08,1123.42,508.27,55.85,75.98,13.71,0.12,50.21,8,341.24,2.15,5.24,4.47
428,Trent Ltd.,TRENT,Department Stores,65.0,5.83,37974.95,1372.97,105.83,0.0,0.21,15.76,16.09,139.84,352.84,1053.87,-138.62,233.84,-25.88,172.4,-99.45,-99.89,67.23,-6.53,-11.35,0.22,37.01,5,67.38,1.36,6.19,4.47
429,UCO Bank,UCOBANK,Banks,55.0,74.33,13151.55,4361.63,929.77,2562.31,0.65,0.63,2.35,-38.03,-67.07,-85.62,225.0,-3.99,110.29,456.63,290.08,0.58,-0.46,36.84,-3.74,0.0,95.39,5,17.47,0.34,5.09,4.45
430,Punjab National Bank,PNB,Banks,55.0,81.33,32757.77,21350.59,3860.74,20859.45,0.66,0.36,2.35,-61.86,-78.28,-81.08,-53.73,-9.12,53.95,50.69,-51.73,-72.93,-7.0,-7.34,-2.49,2.15,73.15,4,80.54,0.28,5.17,4.26
431,DLF Ltd.,DLF,Realty,85.0,21.0,79061.46,1652.13,1500.86,-569.64,0.06,2.17,4.74,72.09,70.35,66.22,-15.46,22.91,-10.37,37.24,-15.72,6.81,3.25,-27.08,-0.16,0.63,74.95,8,141.6,2.85,4.78,4.12
432,Godrej Properties Ltd.,GODREJPROP,Realty,75.0,15.33,33549.08,1522.57,352.15,265.9,0.12,3.87,4.74,20.68,134.33,347.1,225.44,139.94,154.42,286.02,235.93,568.73,93.96,4312.64,377.34,0.0,58.43,5,298.22,1.97,8.91,4.06
433,Vakrangee Ltd.,VAKRANGEE,Misc. Commercial Services,,37.83,2807.67,210.3,109.52,-6.87,0.0,1.02,4.33,-23.85,-87.06,47.06,40.0,453.51,64.65,74.43,44.87,2.68,103.83,40.67,0.07,0.38,42.6,6,24.56,3.73,5.2,3.98
434,Central Bank of India,CENTRALBK,Banks,55.0,60.67,14887.81,6444.82,1079.54,2849.22,0.28,0.54,2.35,-14.46,-80.7,-78.04,115.92,-0.94,582.78,207.57,123.74,21.16,-0.47,307.85,-4.39,0.0,93.08,4,29.8,0.27,5.06,3.9
435,Phoenix Mills Ltd.,PHOENIXLTD,Realty,85.0,23.67,21235.31,519.82,236.94,3.46,0.48,2.36,4.74,85.46,161.37,580.21,47.12,48.51,8.26,351.18,59.98,5.98,33.66,19.05,16.56,0.08,47.33,8,388.26,1.65,5.06,3.6
436,Adani Enterprises Ltd.,ADANIENT,Commodity Trading  & Distribution,45.0,9.83,260185.17,25141.56,776.56,-750.27,0.93,9.0,9.77,1342.33,1582.9,905.06,30.05,48.23,-24.01,-15.83,30.08,2716.68,74.81,73.23,32.56,0.05,0.0,4,197.23,0.76,6.0,3.48
437,Shilpa Medicare Ltd.,SHILPAMED,Pharmaceuticals,45.0,22.33,3411.31,346.09,60.66,79.17,0.19,1.88,6.18,15.2,-37.64,371.62,254.17,12.22,71.84,-58.95,277.55,208.93,24.54,138.87,25.08,0.28,50.01,4,181.13,2.1,6.1,3.32
438,Natco Pharma Ltd.,NATCOPHARM,Pharmaceuticals,50.0,15.5,11688.22,524.5,139.1,-2.8,0.0,2.79,6.18,20.31,-33.86,829.79,-207.01,-48.99,-129.9,-55.06,-207.17,-185.61,6.14,-125.88,-2.91,0.7,48.81,6,198.47,2.79,3.91,3.31
439,Delta Corp Ltd.,DELTACORP,Misc. Commercial Services,65.0,24.5,4754.51,236.77,66.99,-34.18,0.0,2.35,4.33,2.12,18.13,176.67,-16.67,895.78,-15.63,377.97,-16.72,-31.64,43.99,-9.43,-11.69,0.56,33.23,6,65.32,2.92,5.36,3.31
440,Sterlite Technologies Ltd.,STLTECH,Telecom Cables,50.0,28.33,5925.66,1613.09,61.95,43.11,0.78,2.9,2.62,-17.43,-0.3,375.12,-118.21,-34.03,-67.0,-77.51,-118.04,83.63,19.42,-53.51,16.7,1.34,54.16,5,42.42,0.7,6.96,3.16
441,YES Bank Ltd.,YESBANK,Banks,45.0,56.5,32195.65,5872.6,1064.05,17477.51,2.15,0.96,2.35,-88.57,-95.46,-80.81,109.93,-14.09,82.2,130.5,109.81,39.93,-4.48,277.03,1.02,0.0,0.0,4,11.34,0.33,5.09,3.15
442,Hathway Cable & Datacom Ltd.,HATHWAY,Broadcasting & Cable TV,50.0,49.0,2982.63,462.87,129.98,-49.58,0.0,0.72,1.77,-27.68,-53.65,-50.89,-60.98,-17.19,-20.25,-48.57,-60.66,-16.48,-0.2,-17.62,-1.37,0.0,75.0,5,19.63,2.81,2.48,3.15
443,FSN E-Commerce Ventures Ltd.,NYKAA,Internet & Catalogue Retail,55.0,2.33,68273.68,984.46,41.08,-17.62,0.0,50.73,29.5,,,,-52.63,1.13,-34.55,-33.59,-49.28,-69.35,54.97,0.99,-11.38,0.0,52.43,6,23.52,1.55,5.58,3.06
444,Infibeam Avenues Ltd.,INFIBEAM,Internet Software & Services,60.0,34.5,3573.39,372.06,85.84,81.54,0.0,1.21,6.55,20.81,-49.14,,-54.17,2.21,-34.24,19.61,-8.64,15.35,90.06,19.96,-6.94,0.37,30.64,6,8.93,2.24,3.0,2.92
445,Edelweiss Financial Services Ltd.,EDELWEISS,Other Financial Services,40.0,58.33,4908.83,1914.75,188.79,-1044.0,0.0,0.62,6.79,-69.98,-72.01,60.4,-93.34,4.51,618.06,-28.85,-93.25,-40.18,-32.67,-48.59,18.09,1.54,32.62,5,63.23,0.43,20.15,2.88
446,IRB Infrastructure Developers Ltd.,IRB,Roads & Highways,70.0,46.17,12778.52,1682.73,361.4,210.62,1.23,1.02,1.49,118.14,1.95,70.92,4.33,11.34,-5.45,208.5,79.05,140.1,15.82,10.69,12.08,0.0,34.02,8,167.38,0.84,6.71,2.87
447,Brigade Enterprises Ltd.,BRIGADE,Realty,75.0,26.17,10296.49,964.72,82.77,84.23,1.51,3.58,4.74,156.03,150.66,1267.77,-175.0,62.38,-8.71,278.69,-17.94,-58.56,52.48,14.04,2.31,0.27,43.88,8,100.54,0.54,6.37,2.84
448,Sapphire Foods India Ltd.,SAPPHIRE,Restaurants,,4.67,6617.95,408.08,,14.38,0.61,6.35,50.57,,,,194.83,163.36,24.55,125.65,214.58,-50.02,66.85,71.65,-3.94,0.0,51.26,6,,1.19,5.42,2.38
449,Johnson Controls-Hitachi Air Conditioning India Ltd.,JCHAC,Consumer Electronics,55.0,18.83,4296.16,697.16,16.12,104.39,0.0,5.81,9.02,-8.62,-19.63,1306.95,-64.42,-17.83,-57.39,-51.3,-64.71,-23.96,30.99,-48.48,20.59,0.0,74.25,6,190.52,0.89,3.76,2.17
450,Ceat Ltd.,CEATLTD,Auto Tyres & Rubber Products,50.0,45.33,3786.74,2595.28,71.2,-12.32,0.53,1.15,3.63,0.41,-47.46,825.05,-83.48,-27.79,-36.5,-83.52,-83.48,226.19,22.97,-29.96,7.41,2.24,47.11,5,568.11,0.77,5.2,2.17
451,Just Dial Ltd.,JUSTDIAL,Internet & Catalogue Retail,40.0,23.67,4787.13,201.9,70.83,21.87,0.0,1.36,29.5,-26.96,50.89,,-51.38,-101.39,-118.71,-66.93,-34.32,13.72,-6.74,-41.93,4.9,0.0,77.64,5,281.91,1.75,2.49,2.03
452,Bharat Heavy Electricals Ltd.,BHEL,Heavy Electrical Equipment,65.0,51.0,16121.95,8181.72,446.03,123.3,0.0,0.61,10.16,-38.02,-48.33,-68.5,188.22,123.42,180.78,116.54,188.05,3277.02,22.14,206.55,56.97,0.0,63.17,7,46.84,0.79,2.22,1.68
453,V Mart Retail Ltd.,VMART,Department Stores,75.0,15.83,4920.1,461.57,11.64,17.42,0.0,5.79,16.09,10.95,125.18,,-72.73,55.72,15.02,287.66,-77.18,-104.57,53.23,40.14,-33.7,0.0,46.2,7,238.86,0.55,5.14,1.37
454,India Cements Ltd.,INDIACEM,Cement & Cement Products,40.0,44.67,4859.19,1424.8,78.46,-3.02,0.33,0.81,2.5,47.79,-16.97,90.06,-430.32,-38.53,-60.57,-62.05,-121.08,-165.15,7.29,-62.83,22.14,0.64,28.42,5,105.22,0.65,3.04,1.31
455,Tata Investment Corporation Ltd.,TATAINVEST,Holding Companies,60.0,40.17,6787.61,52.01,214.24,3.74,0.0,0.34,2.0,49.38,87.56,190.22,650.94,59.53,3.99,39.14,654.31,-49.4,55.58,74.82,1.9,4.1,73.38,5,1924.77,1.02,1.08,1.08
456,MMTC Ltd.,MMTC,Commodity Trading  & Distribution,50.0,28.67,5767.5,2321.8,-977.94,80.35,0.0,58.49,9.77,55.67,2.81,-91.9,-40.0,27.0,-980.56,-188.35,-41.52,64.92,13.96,-447.79,0.19,0.0,89.93,4,,-14.41,-22.98,-800.4
457,Sun Pharma Advanced Research Company Ltd.,SPARC,Pharmaceuticals,40.0,0.83,5706.74,25.46,-203.4,8.95,0.0,182.76,6.18,78.64,-28.8,190.12,-24.54,-38.36,-46.69,-34.58,-25.26,-348.55,-44.23,-32.38,-59.39,0.0,69.09,1,,-72.62,-174.92,-651.29
458,Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Heavy Electrical Equipment,35.0,16.67,5652.86,1094.47,-909.46,-243.06,0.01,6.24,10.16,,,,74.85,-134.87,62.7,-218.68,63.59,70.1,1.04,72.94,-28.35,0.0,78.56,3,,-25.98,-88.73,-99.2
459,Varroc Engineering Ltd.,VARROC,Auto Parts & Equipment,45.0,29.0,4656.93,1661.55,-1079.04,-322.42,0.13,2.31,6.66,-35.57,,,-75.07,-9.44,100.33,-75.64,-96.23,-7.6,-48.57,-190.96,-47.3,0.0,75.0,3,,-10.09,3.51,-55.8
460,PVR Ltd.,PVR,Specialty Retail,30.0,4.17,11261.19,579.66,-488.24,374.15,0.75,8.22,18.49,12.8,27.29,1148.7,65.82,131.57,159.47,34.71,63.51,-936.25,121.14,468.24,-12.54,0.0,17.01,2,,-6.66,-3.09,-35.62
461,Inox Leisure Ltd.,INOXLEISUR,Specialty Retail,35.0,3.83,6208.71,325.42,-239.43,-32.48,0.1,8.95,18.49,56.15,88.45,917.03,73.0,335.39,303.84,29.09,69.93,-2034.09,376.24,881.67,7.17,0.0,44.04,1,,-6.01,-1.54,-34.57
462,Tata Motors Ltd.,TATAMOTORS,Commercial Vehicles,20.0,25.67,138515.25,79341.61,-11441.47,6127.54,2.19,3.27,3.52,151.49,-5.7,74.37,86.66,-23.44,-30.02,14.94,86.42,31.88,11.52,1078.76,8.6,0.0,46.4,2,,-3.46,1.63,-25.67
463,Strides Pharma Science Ltd.,STAR,Pharmaceuticals,20.0,31.5,3154.8,952.08,-460.21,-55.18,0.35,1.32,6.18,-14.39,-62.2,-52.42,-36.77,-103.17,-71.87,-271.44,-36.6,124.01,-4.9,-69.57,9.02,0.71,30.6,1,,-6.59,-3.39,-19.5
464,One97 Communications Ltd.,PAYTM,Internet Software & Services,25.0,6.67,45878.8,1648.4,-2392.9,-374.8,0.0,3.25,6.55,,,,,-32.42,,-41.08,,2.18,65.19,,5.82,0.0,0.0,1,,-13.3,-15.67,-16.9
465,Dilip Buildcon Ltd.,DBL,Roads & Highways,30.0,41.67,2816.83,2668.9,-535.03,20.2,1.68,0.79,1.49,-59.74,-53.0,,-120.65,-63.7,-55.96,-305.88,-144.88,-189.64,-5.93,-62.93,18.62,0.52,70.15,4,,-3.35,4.05,-15.45
466,PB Fintech Ltd.,POLICYBZR,Internet Software & Services,35.0,4.5,26684.56,591.17,-832.91,-414.24,0.0,4.93,6.55,,,,,-464.8,,-454.38,,26.31,61.92,,47.11,0.0,0.0,3,,-14.08,-14.69,-15.39
467,Star Health and Allied Insurance Company Ltd.,STARHEALTH,General Insurance,45.0,11.17,29484.8,2802.18,-1040.67,1085.61,0.09,3.67,3.87,,,,92.18,-9.82,97.43,-26.05,91.43,85.82,94.79,90.94,3.32,0.0,58.9,3,,-6.15,-15.95,-12.95
468,Swan Energy Ltd.,SWANENERGY,Textiles,35.0,13.5,5149.02,312.14,-121.59,61.89,2.84,3.03,3.69,86.97,45.16,197.95,30.17,0.87,-77.55,-130.12,29.9,-101.94,52.3,-37.41,350.76,0.05,64.09,3,,-2.46,0.09,-12.67
469,Lupin Ltd.,LUPIN,Pharmaceuticals,35.0,20.5,28793.64,3898.71,-1528.04,-1303.09,0.01,2.36,6.18,-17.27,-40.37,21.05,-211.33,-88.81,-63.12,-225.61,-212.52,-194.95,8.16,-62.98,-6.68,1.03,46.78,2,,-7.0,-9.07,-12.57
470,Lemon Tree Hotels Ltd.,LEMONTREE,Hotels,35.0,7.17,4844.59,127.17,-87.43,86.64,2.38,3.46,4.79,-5.92,,,-47.62,93.67,-39.8,31.19,-46.41,-1214.26,57.1,-3.95,-16.79,0.0,23.95,3,,-2.4,0.83,-10.51
471,IFB Industries Ltd.,IFBIND,Household Appliances,50.0,20.17,3728.74,904.86,-48.16,-6.48,0.18,5.86,6.46,19.59,28.33,1337.89,-465.97,-73.58,-117.5,-176.15,-466.93,-781.31,21.62,-109.68,-5.53,0.0,74.96,4,,-2.37,-4.4,-7.42
472,Zomato Ltd.,ZOMATO,Internet Software & Services,40.0,6.33,47478.14,1350.0,-1208.7,140.35,0.0,2.79,6.55,,,,-123.81,-296.18,-67.39,-48.71,-175.0,-469.15,121.26,-235.86,8.97,0.0,0.0,3,,-6.97,-9.06,-7.32
473,Wockhardt Ltd.,WOCKPHARMA,Pharmaceuticals,40.0,22.5,3063.44,669.0,-243.96,11.96,0.09,0.73,6.18,-43.45,-63.73,-77.03,-152.98,572.79,51.8,-135.57,-178.05,-3705.31,14.41,-245.18,-23.29,0.0,67.13,3,,-2.96,1.4,-6.33
474,Chalet Hotels Ltd.,CHALET,Hotels,35.0,6.33,6397.77,153.52,-81.68,-23.84,1.6,4.77,4.79,1.81,,,55.91,1296.44,859.86,41.38,55.46,21.1,67.26,775.79,-9.85,0.0,71.65,4,,-1.83,0.05,-6.07
475,Ashok Leyland Ltd.,ASHOKLEY,Commercial Vehicles,25.0,10.67,42565.15,9957.95,-358.61,-725.56,2.12,4.96,3.52,64.77,59.17,482.33,-60.0,12.3,-3.34,-117.04,-60.22,215.37,34.41,-18.32,49.06,0.41,51.54,2,,-0.82,7.94,-4.9
476,Restaurant Brands Asia Ltd.,RBA,Restaurants,50.0,9.5,5394.05,278.08,-92.95,20.81,0.0,2.76,50.57,,,,55.88,501.67,-9.86,46.56,49.08,12.86,84.39,77.68,-4.0,0.0,40.96,4,,-3.21,-0.94,-4.76
477,Greaves Cotton Ltd.,GREAVESCOT,Auto Parts & Equipment,30.0,15.5,3483.86,630.46,-35.3,19.06,0.23,4.65,6.66,2.91,-3.9,113.56,22.03,-65.87,-18.05,-87.97,22.42,367.79,14.8,-1.14,27.64,0.13,55.55,1,,-2.14,-0.94,-4.71
478,Indiabulls Real Estate Ltd.,IBREALEST,Realty,40.0,32.67,3550.68,272.5,-136.73,32.99,0.1,0.87,4.74,-43.27,-68.2,13.41,-162.68,-100.83,-116.05,-3277.97,-163.35,31.43,-7.26,-93.36,-21.65,0.0,0.0,4,,-1.76,2.09,-4.0
479,Aditya Birla Fashion and Retail Ltd.,ABFRL,Department Stores,45.0,13.67,22501.92,2309.55,-108.72,-20.67,0.28,8.07,16.09,12.61,41.1,,129.94,98.27,26.49,83.83,131.67,-76.98,54.76,58.02,-23.58,0.0,56.09,4,,-0.87,3.07,-3.92
480,Indian Hotels Company Ltd.,INDHOTEL,Hotels,55.0,8.5,32527.15,954.88,-247.72,687.94,0.2,4.25,4.79,44.62,76.63,288.46,172.73,211.88,57.23,65.6,181.26,-2.39,84.57,138.78,-21.52,0.17,38.19,4,,-1.89,1.38,-3.5
481,EIH Ltd.,EIHOTEL,Hotels,50.0,8.17,7826.43,316.84,-97.46,-22.53,0.05,2.51,4.79,-30.43,-8.62,60.35,130.77,99.29,156.56,73.64,130.35,-61.0,88.11,993.6,-17.63,0.0,35.74,3,,-2.35,-1.92,-3.22
482,RBL Bank Ltd.,RBLBANK,Banks,35.0,43.0,5332.69,2713.65,-166.15,3250.6,0.89,0.43,2.35,-86.05,-82.52,,59.84,-21.37,-45.68,-131.38,117.55,35.49,1.76,8.48,4.47,0.0,0.0,2,,-0.15,6.63,-1.32
483,TCNS Clothing Co. Ltd.,TCNSBRANDS,Other Apparels & Accessories,45.0,12.17,3199.19,246.58,-5.73,-38.3,0.0,5.16,18.65,-33.57,,,-249.18,3573.93,-18.68,89.84,-249.88,-123.16,35.97,-22.19,-28.64,0.0,32.26,4,,-0.45,3.03,-0.92
484,Westlife Development Ltd.,WESTLIFE,Restaurants,50.0,7.33,7443.94,468.18,-1.67,9.73,0.0,16.11,50.57,,,,339.02,303.06,5.75,98.33,337.32,-26.42,55.7,51.94,-4.56,0.0,56.98,4,,-0.09,16.28,-0.36
485,Vodafone Idea Ltd.,IDEA,Telecom Services,40.0,26.67,28425.18,10271.8,-28245.4,-16.6,-2.84,-0.46,4.14,-28.34,-89.09,-88.08,6.56,-5.37,-1.06,36.14,6.55,9.24,-8.26,34.33,5.37,0.0,74.99,2,,-14.55,-5.58,0.0
486,Alok Industries Ltd.,ALOKINDS,Textiles,50.0,13.5,9955.31,2031.44,-208.61,-202.53,-1.25,-0.56,3.69,481.16,642.59,12.32,95.05,188.85,-24.28,96.32,94.65,-29633.33,89.83,135.51,-5.57,0.0,75.0,4,,-2.53,5.85,0.0
487,Responsive Industries Ltd.,RESPONIND,Furniture-Furnishing-Paints,60.0,15.5,3194.95,333.62,0.01,4.41,0.03,3.13,15.89,32.63,41.82,37.59,-128.89,-11.88,-46.95,-99.97,-128.22,-1428.96,47.66,3.68,4.13,0.08,49.58,6,0.6,0.0,2.67,0.0
488,Tata Teleservices (Maharashtra) Ltd.,TTML,Telecom Services,35.0,4.33,24299.75,277.78,-1215.0,-26.31,-0.45,-1.02,4.14,3259.46,1827.13,895.99,2.04,-3.81,-5.41,39.15,2.66,7.17,3.51,-0.25,-4.03,0.0,74.36,2,,-89.04,-3.98,0.0
489,Suzlon Energy Ltd.,SUZLON,Heavy Electrical Equipment,40.0,18.67,6901.16,2478.73,-199.59,180.17,-1.59,-1.82,10.16,23.68,-61.05,-61.05,-214.29,66.48,-49.25,-291.58,-260.62,-642.03,96.22,10.6,53.7,0.0,0.0,2,,-3.08,29.09,0.0
490,Spicejet Ltd.,SPICEJET,Airlines,20.0,23.83,2274.79,2677.34,-1516.19,3.75,-0.12,-0.87,4.9,,,,163.96,-63.78,-64.44,-9.96,163.6,107.44,-53.66,-0.23,68.17,0.0,59.4,1,,-9.05,-11.92,0.0
491,Shree Renuka Sugars Ltd.,RENUKA,Sugar,40.0,8.0,9993.26,2190.7,-138.5,-31.88,-4.53,-16.45,1.89,413.11,277.11,53.18,447.62,-34.94,-33.36,-20.68,448.11,265.19,14.35,149.1,7.89,0.0,62.48,2,,-1.94,10.79,0.0
492,InterGlobe Aviation Ltd.,INDIGO,Airlines,35.0,6.33,63100.87,8207.46,-6161.84,-192.45,-0.07,-10.54,4.9,3.45,34.45,,-46.46,4123.03,-94.67,-6.12,-46.61,-1395.8,70.03,-67.47,-13.71,0.0,74.77,2,,-13.4,-16.12,0.0
493,Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement & Cement Products,75.0,35.67,10720.04,2945.12,32.08,212.96,0.47,1.22,2.5,,,,-26.36,2.48,-27.18,223.77,-22.41,134.03,24.42,-17.89,35.33,0.0,71.42,6,70.65,0.16,4.1,0.36
494,IDFC First Bank Ltd.,IDFCFIRSTB,Banks,50.0,41.33,19901.08,5384.83,132.31,1610.28,2.51,0.94,2.35,-25.41,-42.55,,137.5,-18.17,103.99,-72.62,157.3,21.4,11.65,12.79,2.81,0.0,36.49,4,12.74,0.06,5.99,0.62
495,Maharashtra Scooters Ltd.,MAHSCOOTER,Investment Companies,,49.83,4285.04,10.41,142.71,-74.56,0.0,0.19,5.94,-19.32,100.78,1051.54,-44.31,31.33,-481.52,1519.46,-44.13,-52.42,533.12,-18.32,5.72,1.33,51.0,5,7494.51,0.57,0.69,0.62
496,IDFC Ltd.,IDFC,Finance (including NBFCs),55.0,21.67,7942.57,5.7,64.03,-635.8,0.0,0.89,5.04,43.79,-9.46,-63.24,369.23,-75.02,-889.15,119.06,372.18,965.06,-78.5,-174.05,-98.59,2.01,0.0,4,22.46,0.69,0.58,0.71
497,Bandhan Bank Ltd.,BANDHANBNK,Banks,30.0,11.83,44522.13,4835.97,125.79,-2159.98,1.15,2.56,2.35,-48.61,,,1745.31,5.48,28.07,-94.3,1746.35,121.47,14.08,179.11,13.58,0.36,39.99,1,43.54,0.09,9.86,0.72
498,Sunteck Realty Ltd.,SUNTECK,Realty,45.0,14.67,7225.11,164.24,25.08,-31.63,0.16,2.48,4.74,13.7,121.02,180.19,-141.89,-30.38,-89.44,-40.19,-141.44,-138.82,-15.35,-68.3,21.78,0.3,67.13,4,89.35,0.45,3.35,0.89
499,The New India Assurance Company Ltd.,NIACL,General Insurance,45.0,38.0,13422.96,8563.2,194.57,260.5,0.0,0.68,3.87,-45.24,,,-337.59,-95.93,-114.84,-88.14,-337.12,-209.82,1215.54,-306.66,1112.81,0.0,85.44,6,56.54,0.2,0.44,0.98
